case_id,family,subfamily,entry_theta_deg,heading_deg,heading_offset_deg,entry_lat_deg,entry_lon_deg,duration_s,h_min_km,h_max_km,rmin_km
N01,nominal,nominal,0,180,0,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
N02,nominal,nominal,30,-150,0,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,898.685809581613
N03,nominal,nominal,60,-120,0,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
N04,nominal,nominal,90,-90,0,56.9494585235856,-160,800,38.8067543779826,59.8131582779614,1.69004079033921
N05,nominal,nominal,120,-60,0,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
N06,nominal,nominal,150,-30,0,39.9371236407874,169.210618483287,800,38.8050636571003,59.8162721578507,898.685809581618
N07,nominal,nominal,180,0,0,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
N08,nominal,nominal,210,30,0,14.445565010497,176.090071370726,800,38.8050636571003,59.8162721578507,466.064855435052
N09,nominal,nominal,240,60,0,6.07326339029551,-173.172359806545,800,38.8055219764821,59.8135121535603,212.430993020669
N10,nominal,nominal,270,90,0,3.05054147641435,-160,800,38.8067543779826,59.8131582779614,1.69003693216335
N11,nominal,nominal,300,120,0,6.07326339029551,-146.827640193455,800,38.8055219764821,59.8135121535603,212.430993020674
N12,nominal,nominal,330,150,0,14.445565010497,-136.090071370726,800,38.8050636571003,59.8162721578507,466.06485543505
H01_+00,heading,heading,0,180,0,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
H01_-30,heading,heading,0,150,-30,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,768.011516168433
H01_+30,heading,heading,0,-150,30,26.4683460592586,-129.584216602156,800,38.8050636571003,59.8162721578507,2040.61613455944
H01_-60,heading,heading,0,120,-60,26.4683460592586,-129.584216602156,800,38.8055219764821,59.8135121535603,2069.46174569845
H01_+60,heading,heading,0,-120,60,26.4683460592586,-129.584216602156,800,38.8055219764821,59.8135121535603,2813.01430126065
H02_+00,heading,heading,30,-150,0,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,898.685809581613
H02_-30,heading,heading,30,-180,-30,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,603.641294398902
H02_+30,heading,heading,30,-120,30,39.9371236407874,-129.210618483287,800,38.8055219764821,59.8135121535603,2165.69959025393
H02_-60,heading,heading,30,150,-60,39.9371236407874,-129.210618483287,800,38.8050636571003,59.8162721578507,1941.93525427928
H02_+60,heading,heading,30,-90,60,39.9371236407874,-129.210618483287,800,38.8067543779826,59.8131582779614,2854.95401139899
H03_+00,heading,heading,60,-120,0,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
H03_-30,heading,heading,60,-150,-30,51.776815210437,-138.516101485756,800,38.8050636571003,59.8162721578507,781.847569297682
H03_+30,heading,heading,60,-90,30,51.776815210437,-138.516101485756,800,38.8067543779826,59.8131582779614,2039.39786640058
H03_-60,heading,heading,60,-180,-60,51.776815210437,-138.516101485756,800,38.8050144730778,59.8177227800889,2075.76392685746
H03_+60,heading,heading,60,-60,60,51.776815210437,-138.516101485756,800,38.8055219764821,59.8135121535603,2809.85624716423
H04_+00,heading,heading,90,-90,0,56.9494585235856,-160,800,38.8067543779826,59.8131582779614,1.69004079033921
H04_-30,heading,heading,90,-120,-30,56.9494585235856,-160,800,38.8055219764821,59.8135121535603,1455.92333163054
H04_+30,heading,heading,90,-60,30,56.9494585235856,-160,800,38.8055219764821,59.8135121535603,1455.92333163054
H04_-60,heading,heading,90,-150,-60,56.9494585235856,-160,800,38.8050636571003,59.8162721578507,2517.52751011186
H04_+60,heading,heading,90,-30,60,56.9494585235856,-160,800,38.8050636571003,59.8162721578507,2517.52751011186
H05_+00,heading,heading,120,-60,0,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,725.441356591253
H05_-30,heading,heading,120,-90,-30,51.776815210437,178.516101485756,800,38.8067543779826,59.8131582779614,2039.39786640058
H05_+30,heading,heading,120,-30,30,51.776815210437,178.516101485756,800,38.8050636571003,59.8162721578507,781.847569297681
H05_-60,heading,heading,120,-120,-60,51.776815210437,178.516101485756,800,38.8055219764821,59.8135121535603,2809.85624716423
H05_+60,heading,heading,120,0,60,51.776815210437,178.516101485756,800,38.8050144730536,59.8177227801355,2075.76392685756
H06_+00,heading,heading,150,-30,0,39.9371236407874,169.210618483287,800,38.8050636571003,59.8162721578507,898.685809581618
H06_-30,heading,heading,150,-60,-30,39.9371236407874,169.210618483287,800,38.8055219764821,59.8135121535603,2165.69959025393
H06_+30,heading,heading,150,0,30,39.9371236407874,169.210618483287,800,38.8050636571003,59.8162721578507,603.641294398901
H06_-60,heading,heading,150,-90,-60,39.9371236407874,169.210618483287,800,38.8067543779826,59.8131582779614,2854.95401139899
H06_+60,heading,heading,150,30,60,39.9371236407874,169.210618483287,800,38.8050636571003,59.8162721578507,1941.93525427928
H07_+00,heading,heading,180,0,0,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
H07_-30,heading,heading,180,-30,-30,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,2040.61613455944
H07_+30,heading,heading,180,30,30,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,768.011516168434
H07_-60,heading,heading,180,-60,-60,26.4683460592586,169.584216602156,800,38.8055219764821,59.8135121535603,2813.01430126065
H07_+60,heading,heading,180,60,60,26.4683460592586,169.584216602156,800,38.8055219764821,59.8135121535603,2069.46174569846
H08_+00,heading,heading,210,30,0,14.445565010497,176.090071370726,800,38.8050636571003,59.8162721578507,466.064855435052
H08_-30,heading,heading,210,0,-30,14.445565010497,176.090071370726,800,38.8050636571003,59.8162721578507,1830.6227987073
H08_+30,heading,heading,210,60,30,14.445565010497,176.090071370726,800,38.8055219764821,59.8135121535603,1031.7522831901
H08_-60,heading,heading,210,-30,-60,14.445565010497,176.090071370726,800,38.8050636571003,59.8162721578507,2714.03513942832
H08_+60,heading,heading,210,90,60,14.445565010497,176.090071370726,800,38.8067543779826,59.8131582779614,2259.83397668197
H09_+00,heading,heading,240,60,0,6.07326339029551,-173.172359806545,800,38.8055219764821,59.8135121535603,212.430993020669
H09_-30,heading,heading,240,30,-30,6.07326339029551,-173.172359806545,800,38.8050636571003,59.8162721578507,1628.34660112477
H09_+30,heading,heading,240,90,30,6.07326339029551,-173.172359806545,800,38.8067543779826,59.8131582779614,1269.48254455369
H09_-60,heading,heading,240,0,-60,6.07326339029551,-173.172359806545,800,38.8050636571003,59.8162721578507,2604.40288309896
H09_+60,heading,heading,240,120,60,6.07326339029551,-173.172359806545,800,38.8055219764821,59.8135121535603,2409.08466863535
H10_+00,heading,heading,270,90,0,3.05054147641435,-160,800,38.8067543779826,59.8131582779614,1.69003693216335
H10_-30,heading,heading,270,60,-30,3.05054147641435,-160,800,38.8055219764821,59.8135121535603,1454.6048230237
H10_+30,heading,heading,270,120,30,3.05054147641435,-160,800,38.8055219764821,59.8135121535603,1454.6048230237
H10_-60,heading,heading,270,30,-60,3.05054147641435,-160,800,38.8050636571003,59.8162721578507,2510.55721967936
H10_+60,heading,heading,270,150,60,3.05054147641435,-160,800,38.8050636571003,59.8162721578507,2510.55721967936
H11_+00,heading,heading,300,120,0,6.07326339029551,-146.827640193455,800,38.8055219764821,59.8135121535603,212.430993020674
H11_-30,heading,heading,300,90,-30,6.07326339029551,-146.827640193455,800,38.8067543779826,59.8131582779614,1269.48254455368
H11_+30,heading,heading,300,150,30,6.07326339029551,-146.827640193455,800,38.8050636571003,59.8162721578507,1628.34660112477
H11_-60,heading,heading,300,60,-60,6.07326339029551,-146.827640193455,800,38.8055219764821,59.8135121535603,2409.08466863535
H11_+60,heading,heading,300,180,60,6.07326339029551,-146.827640193455,800,38.8050636571003,59.8162721578507,2604.40288309896
H12_+00,heading,heading,330,150,0,14.445565010497,-136.090071370726,800,38.8050636571003,59.8162721578507,466.06485543505
H12_-30,heading,heading,330,120,-30,14.445565010497,-136.090071370726,800,38.8055219764821,59.8135121535603,1031.7522831901
H12_+30,heading,heading,330,180,30,14.445565010497,-136.090071370726,800,38.8050636571003,59.8162721578507,1830.6227987073
H12_-60,heading,heading,330,90,-60,14.445565010497,-136.090071370726,800,38.8067543779826,59.8131582779614,2259.83397668197
H12_+60,heading,heading,330,-150,60,14.445565010497,-136.090071370726,800,38.8050636571003,59.8162721578507,2714.03513942832
C1_track_plane_aligned,critical,track_plane_aligned,180,0,NaN,26.4683460592586,169.584216602156,800,38.8050636571003,59.8162721578507,734.28524780652
C2_small_crossing_angle,critical,small_crossing_angle,210,20,NaN,14.445565010497,176.090071370726,800,38.6889086013129,59.6936669918708,1099.5709134836
